date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name,streams_agg
11-11-2021,Norway,38,203651,6HAed97ZUUrGsIqrxVRjpg,"['David Guetta', 'Julie Bergan', 'Ty Dolla $ign', 'A Boogie Wit da Hoodie']","['edm', 'norwegian pop', 'hip hop', 'big room', 'tropical house', 'southern hip hop', 'pop', 'dance pop', 'trap', 'trap soul', 'melodic rap', 'pop rap', 'rap', 'r&b', 'pop dance']",158994,False,"Family (feat. Julie Bergan, Ty Dolla $ign & A Boogie Wit da Hoodie)",545708
05-03-2020,Italy,4,2467433,6HDdOPc6FWpMfjC8ebzdRC,"['DrefGold', 'FSK SATELLITE']","['trap italiana', 'italian hip hop']",202380,True,Snitch E Impicci (con FSK SATELLITE),13186338
12-08-2021,Viet Nam,79,48054,6HE6jZ7J0T6Rry0lcGTZYv,['Phan Mạnh Quỳnh'],"['v-pop', 'vietnamese singer-songwriter']",240461,False,"Gặp Gỡ, Yêu Đương Và Được Bên Em",416380
25-08-2022,Morocco,175,16524,6HFNyHeEnUR9ospYhAcnyg,"['Khaled', 'Chico & The Gypsies']","['rai', 'rumba', 'classic arab pop']",205476,False,Gitano,16524
01-04-2021,Poland,88,210531,6HFVoNXErW7mM9P9sfunYh,['PRO8L3M'],['polish hip hop'],212013,True,Adios,393637
23-09-2021,France,86,493136,6HHWhSRLOmIca9WpGm2GZx,"['Leto', 'Cheu-B', 'Kepler']","['pop urbaine', 'drill francais', 'rap antillais', 'french hip hop', 'rap francais']",221990,True,Truc en moi (feat. Cheu-B et Kepler),779575
26-01-2017,Denmark,10,387978,6HHaM2ejqVrDChGMDFbuaP,['Medina'],['danish pop'],206624,False,Elsk Mig,1776984
19-01-2023,Israel,105,46234,6HHbfGzobp338AhqtVMIWd,['מיה סולימן'],[],160797,False,מאושר בלעדיי,46234
19-01-2023,Italy,16,1693521,6HHlRj9VJUNnT3u5VAju7F,['Guè'],['italian hip hop'],173415,True,Mi Hai Capito O No?,2720930
01-10-2020,Netherlands,77,315285,6HIAuuKtwWm5y1JSsiaf6W,['Tabitha'],"['dutch pop', 'dutch rap pop']",185162,False,Wanneer Je Naar Me Lacht,315285
06-05-2021,Slovakia,74,17564,6HLrcVmhCjZaTFQMLEATwe,"['H16', 'Majk Spirit', 'Otis']","['slovak pop', 'czsk hip hop', 'slovak hip hop']",240200,True,Yoda,17564
05-10-2017,Mexico,199,271407,6HOXOKhUxRvrGUM7aDeF0Q,['Matisse'],"['latin pop', 'mexican pop', 'latin arena pop']",239920,False,Todavía,6211655
08-07-2021,Germany,138,523148,6HOZEXfwd5gLHtfatXVatf,"['Eno', 'M Huncho']","['uk hip hop', 'german drill']",139595,False,Heavy Duty,523148
22-04-2021,Poland,39,336049,6HSOnIzkBJnd3aBYCLCDBl,"['Sobel', 'PSR']","['polish pop', 'polish trap']",206560,True,Kapie Deszcz,1265768
27-08-2020,Spain,123,355796,6HT0Nik8yq0Aiw814elnEu,"['Omar Montes', 'Mariah Angeliq']","['trap latino', 'urbano espanol', 'rap latina', 'flamenco urbano', 'perreo']",184520,False,Qué Te Pasó?,355796
11-08-2022,Belarus,95,14073,6HT5LCy7wXlx7phC6E6FZy,['xxxmanera'],"['zxc', 'russian hip hop']",89907,True,Donor,14073
27-01-2022,Egypt,186,13137,6HUfEeiDsZvzp39uCF7I7n,['Moscow'],"['egyptian trap', 'egyptian hip hop']",228597,False,موسكو,60156
13-12-2018,Slovakia,113,10343,6HUx2XIG0OndhOqM1fS7Gp,['Majk Spirit'],"['slovak pop', 'czsk hip hop', 'slovak hip hop']",246990,True,Len Človek,10343
01-04-2021,Italy,16,1084470,6HVRRlc2sBlkcKEkhlsp86,"['Massimo Pericolo', 'Crookers']","['fidget house', 'italian hip hop', 'trap metal italiana']",187431,True,STUPIDO,49135191
30-07-2020,Argentina,41,537011,6HVvoYxya254tV9ZeXKyTg,"['Trueno', 'Taiu', 'TATOOL']","['trap latino', 'argentine hip hop', 'bases de freestyle', 'trap argentino']",194734,True,Ñeri,12410377
19-01-2017,Finland,193,39962,6HYNKNS9PTrqX9z00TJ760,"['Julma Henri', 'Ro$vosheriffi', 'Djangomayn']","['finnish hip hop', 'suomirap', 'finnish trap']",237704,True,Spägää,39962
22-06-2017,Poland,89,56577,6HZ2M7lZjGgRbaK7srf1qi,"['Quebonafide', 'Young Igi']","['polish trap', 'polish hip hop']",234399,False,Hypebae,958939
07-05-2020,Slovakia,16,51905,6HZDicrDUwnO7uyr2sOBgF,"['Separ', 'Nerieš']","['czech hip hop', 'czsk hip hop', 'slovak hip hop']",164000,True,Vietor,232021
26-10-2014,Chile,177,13334,6HZclnF5wcpurUMNitDkLR,['Alexis y Fido'],"['latin hip hop', 'reggaeton', 'trap latino', 'reggaeton flow']",238066,False,Rompe La Cintura,649672
06-06-2019,Netherlands,136,215164,6HaFX7XVYhKfPrsklsh2HH,['Quatro Vision'],"['dutch trap', 'dutch hip hop', 'dutch rap pop']",213394,True,Cypher B4B,215164
16-04-2020,Spain,150,281861,6HboVMO4VF8gQUtR6ZQttz,"['Dani Martín', 'Juanes']","['mexican pop', 'rock en espanol', 'latin pop', 'colombian pop', 'spanish pop rock', 'tropical', 'spanish pop']",187706,False,Los Huesos,3363915
27-08-2020,Estonia,140,4977,6Hc5in7hjW3fayJfxxSJ2k,['Brollybeats'],[],100500,False,Travel,4977
18-11-2021,Finland,73,64841,6HfW9sQEczoAXbIdDTJpH0,['Anssi Kela'],"['finnish pop', 'finnish hip hop', 'finnish dance pop', 'iskelma', 'suomi rock']",293666,False,Tuu mua vastaan (Vain elämää kausi 12),120437
01-04-2021,Italy,53,641932,6HfrOVSQECKjnSFQABkMRU,"['Massimo Pericolo', 'Crookers']","['fidget house', 'italian hip hop', 'trap metal italiana']",141540,True,BANG BANG,641932
12-05-2022,Ukraine,157,24940,6Hhia1Bqxhanv26AK6fonu,"['Олександр Пономарьов', 'Михайло Хома', 'Тарас Тополя', 'Євген Кошовий', 'Юрій Ткач', 'Петро Чорний']","['ukrainian pop', 'ukrainian rock']",214500,False,Україна переможе!,24940
26-03-2020,France,166,286408,6Hhx7ksVnFxsLRssypYiEO,"['Bosh', 'SCH']","['pop urbaine', 'francoton', 'rap marseille', 'french hip hop', 'rap francais']",148986,True,Business (feat. SCH),5529753
03-03-2022,Spain,137,371859,6HiEyMBO66WXXE2UDzLOby,"['Ayax y Prok', 'Blasfem']","['rap politico', 'urbano espanol', 'rap espanol']",182117,False,La Góndola,1068519
12-07-2018,Italy,96,361005,6HuuGzOoMjmTl0hdquyhlR,"['DrefGold', 'Daves The Kid']","['trap italiana', 'italian hip hop']",186013,False,Mannaggia,361005
07-01-2021,Finland,51,72284,6Hy4YqwoKLKOU8uA6a5B2H,"['Nelma U', 'ibe']","['finnish trap', 'finnish hip hop', 'finnish dance pop']",238596,False,Kaikki kerrat kun me tavattiin,112037
30-04-2020,Finland,166,45927,6Hy9mcdQqINxqop7uvAZqT,"['Kube', 'Matti8', 'Mari Johanna', 'Jakob', 'SEXGANG']","['finnish trap', 'finnish hip hop', 'finnish dance pop']",232500,True,Hidasteit,87304
02-01-2020,Romania,146,12304,6I0RS1d2afHX6rIuF1EtH0,"['Amuly', 'Oscar']",['romanian trap'],195279,True,Fratii Nu Pica,12304
02-06-2022,Philippines,41,753890,6I2tqFhk8tq69iursYxuxd,['SEVENTEEN'],"['k-pop', 'k-pop boy group']",197586,False,HOT,25336402
07-03-2019,Denmark,16,257735,6I3ZRRax89Im1a5RueF5SY,['Bro'],"['danish pop', 'danish hip hop']",175263,False,Døgnrytme,4455947
